vendor,model,temperature,reasoning_level,fleiss_kappa,accuracy,f1_macro,f1_rep1,f1_rep2,f1_rep3,f1_mean,f1_std,f1_min,f1_max,n_valid_rep1,n_valid_rep2,n_valid_rep3,pct_valid_rep1,pct_valid_rep2,pct_valid_rep3,pct_valid_mean,pct_valid_min,pct_valid_max,n_invalid,n_error,n_trials
gemini,gemini-3-flash-preview,1.0,MINIMAL,0.9786091681105478,0.9637096774193549,0.96288351209778,0.96288351209778,0.9627719257113192,0.9629935432732797,0.9628829936941262,0.00011080969045660463,0.9627719257113192,0.9629935432732797,248,247,249,99.2,98.8,99.6,99.2,98.8,99.6,2,0,250
gemini,gemini-3-flash-preview,1.0,LOW,0.9945996932625775,0.9558232931726908,0.9547698862228975,0.9588293650793651,0.9547698862228975,0.9547698862228975,0.95612304584172,0.002343741210551177,0.9547698862228975,0.9588293650793651,249,249,249,99.6,99.6,99.6,99.59999999999998,99.6,99.6,1,0,250
gemini,gemini-3-flash-preview,1.0,MEDIUM,0.962538531795867,0.9598393574297188,0.9589325768571051,0.9668803418803419,0.9587079587079587,0.9588094605368058,0.9614659203750354,0.0046893012094723005,0.9587079587079587,0.9668803418803419,248,248,248,99.2,99.2,99.2,99.2,99.2,99.2,1,0,250
gemini,gemini-3-flash-preview,1.0,HIGH,0.9624261943102522,0.9598393574297188,0.9589325768571051,0.9585848423876593,0.9588293650793651,0.9629935432732797,0.9601359169134347,0.002477795218748002,0.9585848423876593,0.9629935432732797,247,249,249,98.8,99.6,99.6,99.33333333333333,98.8,99.6,1,0,250
gemini,gemini-3-flash-preview,1.5,MINIMAL,0.9681954074168311,0.9635627530364372,0.9627719257113192,0.9627719257113192,0.9627719257113192,0.9627719257113192,0.9627719257113192,0.0,0.9627719257113192,0.9627719257113192,247,247,247,98.8,98.8,98.8,98.8,98.8,98.8,3,0,250
gemini,gemini-3-flash-preview,1.5,LOW,0.9837864714317629,0.9598393574297188,0.9588293650793651,0.9627894570128204,0.9547698862228975,0.9589490968801313,0.9588361467052829,0.004010978337032595,0.9547698862228975,0.9627894570128204,248,249,250,99.2,99.6,100.0,99.60000000000001,99.2,100.0,1,0,250
gemini,gemini-3-flash-preview,1.5,MEDIUM,0.952117132135434,0.963855421686747,0.9628979652654757,0.966966366966367,0.9664980172295912,0.9627894570128204,0.9654179470695928,0.002288352650466761,0.9627894570128204,0.966966366966367,248,245,248,99.2,98.0,99.2,98.8,98.0,99.2,1,0,250
gemini,gemini-3-flash-preview,1.5,HIGH,0.9522937854704538,0.9637096774193549,0.962689935309162,0.9626794258373206,0.9624713958810069,0.9584790209790209,0.9612099475657828,0.0023673379844021316,0.9584790209790209,0.9626794258373206,247,246,247,98.8,98.4,98.8,98.66666666666667,98.4,98.8,2,0,250
gemini,gemini-3-flash-preview,2.0,MINIMAL,0.9786091681105478,0.9637096774193549,0.96288351209778,0.9629935432732797,0.96288351209778,0.9627719257113192,0.9628829936941262,0.00011080969045660463,0.9627719257113192,0.9629935432732797,249,248,247,99.6,99.2,98.8,99.2,98.8,99.6,2,0,250
gemini,gemini-3-flash-preview,2.0,LOW,0.970365740640962,0.9598393574297188,0.9588293650793651,0.9549025074205875,0.9668678739101275,0.9588293650793651,0.9601999154700267,0.006099287260595206,0.9549025074205875,0.9668678739101275,250,247,249,100.0,98.8,99.6,99.46666666666665,98.8,100.0,1,0,250
gemini,gemini-3-flash-preview,2.0,MEDIUM,0.9419459710503908,0.963855421686747,0.9629935432732797,0.9625678394508597,0.9668678739101275,0.9626587509065456,0.9640314880891777,0.002456802722474483,0.9625678394508597,0.9668678739101275,246,247,246,98.4,98.8,98.4,98.53333333333335,98.4,98.8,1,0,250
gemini,gemini-3-flash-preview,2.0,HIGH,0.9623085814385919,0.968,0.9671592775041051,0.9626794258373206,0.962689935309162,0.9671592775041051,0.9641762128835293,0.0025834150866920823,0.9626794258373206,0.9671592775041051,247,248,250,98.8,99.2,100.0,99.33333333333333,98.8,100.0,0,0,250
